Date,SP500,NASDAQ,DJIA
12/7/92,435.3099976,666.5300293,3307.300049
12/8/92,436.9899902,667.1199951,3322.199951
12/9/92,435.6499939,663.9199829,3323.800049
12/10/92,434.6400146,658.9299927,3312.199951
12/11/92,433.730011,655.789978,3304.100098
12/14/92,432.8399963,654.7299805,3292.199951
12/15/92,432.5700073,650.75,3284.399902
12/16/92,431.519989,649.6300049,3255.199951
12/17/92,435.4299927,658.460022,3269.199951
12/18/92,441.2799988,661.289978,3313.300049
12/21/92,440.7000122,662.460022,3312.5
12/22/92,440.3099976,660.8400269,3321.100098
12/23/92,439.0299988,662.960022,3313.540039
12/24/92,439.769989,665.8800049,3326.199951
12/28/92,439.1499939,666.25,3333.26001
12/29/92,437.980011,669.0100098,3310.800049
12/30/92,438.8200073,671.8499756,3321.100098
12/31/92,435.7099915,676.9500122,3301.110107
1/4/93,435.3800049,671.7999878,3309.199951
1/5/93,434.3399963,674.3400269,3307.899902
1/6/93,434.519989,681.8499756,3305.199951
1/7/93,430.730011,678.210022,3269
1/8/93,429.0499878,677.210022,3251.699951
1/11/93,430.9500122,682.4000244,3262.75
1/12/93,431.0400085,679.4500122,3264.600098
1/13/93,433.0299988,686.7800293,3263.600098
1/14/93,435.9400024,695.7000122,3267.899902
1/15/93,437.1499939,697.1500244,3271.100098
1/18/93,436.8399963,698.1300049,3274.899902
1/19/93,435.1300049,696.8099976,3256
1/20/93,433.3699951,697.4400024,3242
1/21/93,435.4899902,700.7700195,3253
1/22/93,436.1099854,701.6300049,3256.800049
1/25/93,440.0100098,706.9500122,3292.199951
1/26/93,439.9500122,707.1599731,3299
1/27/93,438.1099854,697.9000244,3291.399902
1/28/93,438.6600037,694.6699829,3306.300049
1/29/93,438.7799988,696.3400269,3310
2/1/93,442.519989,701.7700195,3332.199951
2/2/93,442.5499878,705.1199951,3328.699951
2/3/93,447.2000122,708.6699829,3373.800049
2/4/93,449.5599976,708.8499756,3416.699951
2/5/93,448.9299927,700.9799805,3442.100098
2/8/93,447.8500061,698.4400024,3437.5
2/9/93,445.3299866,692.210022,3414.600098
2/10/93,446.230011,695.0200195,3412.399902
2/11/93,447.6600037,695.8800049,3422.699951
2/12/93,444.5799866,690.539978,3392.429932
2/16/93,433.9100037,665.3900146,3309.5
2/17/93,433.2999878,659.4299927,3312.199951
2/18/93,431.8999939,662.4500122,3302.199951
2/19/93,434.2200012,663.6099854,3322.179932
2/22/93,435.2399902,652.4199829,3342.98999
2/23/93,434.7999878,651.4000244,3323.27002
2/24/93,440.8699951,662.460022,3356.5
2/25/93,442.3399963,667.0700073,3365.139893
2/26/93,443.3800049,670.7700195,3370.810059
3/1/93,442.0100098,669.5100098,3355.409912
3/2/93,447.8999939,677.7199707,3400.530029
3/3/93,449.2600098,683.9199829,3404.040039
3/4/93,447.3399963,680.7299805,3398.909912
3/5/93,446.1099854,681.3699951,3404.580078
3/8/93,454.7099915,687.2299805,3469.419922
3/9/93,454.3999939,688.960022,3472.120117
3/10/93,456.3299866,692.8699951,3478.340088
3/11/93,453.7200012,694.2800293,3457
3/12/93,449.8299866,692.7800293,3427.820068
3/15/93,451.4299927,695.210022,3442.409912
3/16/93,451.3699951,695.4699707,3442.949951
3/17/93,448.3099976,687.4000244,3426.73999
3/18/93,451.8900146,687.4099731,3465.639893
3/19/93,450.1799927,682.7199707,3471.580078
3/22/93,448.8800049,676.6199951,3463.47998
3/23/93,448.7600098,675.039978,3461.860107
3/24/93,448.0700073,674.3599854,3445.379883
3/25/93,450.8800049,681.0100098,3461.320068
3/26/93,447.7799988,681.539978,3439.97998
3/29/93,450.769989,680.7600098,3455.100098
3/30/93,451.9700012,686.25,3457.27002
3/31/93,451.6700134,690.1300049,3435.110107
4/1/93,450.2999878,686.6400146,3439.439941
4/2/93,441.3900146,669.8499756,3370.810059
4/5/93,442.2900085,670.710022,3379.189941
4/6/93,441.1600037,664.1400146,3377.570068
4/7/93,442.730011,668.8800049,3397.02002
4/8/93,441.8399963,666.3300171,3396.47998
4/12/93,448.3699951,673.1199951,3428.090088
4/13/93,449.2200012,673.8300171,3444.030029
4/14/93,448.6600037,673.9400024,3455.639893
4/15/93,448.3999939,670.3200073,3455.919922
4/16/93,448.9400024,666.7800293,3478.610107
4/19/93,447.4599915,663.0300293,3466.98999
4/20/93,445.1000061,661.9699707,3443.48999
4/21/93,443.6300049,664.039978,3439.439941
4/22/93,439.4599915,663.5100098,3429.169922
4/23/93,437.0299988,658.4099731,3413.77002
4/26/93,433.5400085,645.8699951,3398.370117
4/27/93,438.0100098,652.5200195,3415.929932
4/28/93,438.019989,658.1599731,3413.5
4/29/93,438.8900146,658.4500122,3425.120117
4/30/93,440.1900024,661.4199829,3427.550049
5/3/93,442.4599915,666.710022,3446.459961
5/4/93,444.0499878,678.1599731,3446.189941
5/5/93,444.519989,683.2600098,3449.100098
5/6/93,443.2600098,680.039978,3441.899902
5/7/93,442.3099976,681.4400024,3437.189941
5/10/93,442.7999878,682.8200073,3443.280029
5/11/93,444.3599854,683.0599976,3468.75
5/12/93,444.7999878,681.6900024,3482.310059
5/13/93,439.230011,675.6400146,3447.98999
5/14/93,439.5599976,676.3699951,3443.01001
5/17/93,440.3699951,677.960022,3449.929932
5/18/93,440.3200073,680.7800293,3444.389893
5/19/93,447.5700073,690.4299927,3500.030029
5/20/93,450.5899963,697.4299927,3523.280029
5/21/93,445.8399963,694.289978,3492.830078
5/24/93,448,694.6900024,3507.780029
5/25/93,448.8500061,695.039978,3516.629883
5/26/93,453.4400024,704.0900269,3540.159912
